summonerName,count,win,winRate,totalDamageDealt,damageDealtToObjectives,totalDamageDealtToChampions,damageDealtToTurrets,inhibitorKills,firstTowerKill,turretKills,goldEarned,goldSpent,champLevel,totalMinionsKilled,firstBloodKill,firstInhibitorKill,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,neutralMinionsKilled,visionScore,wardsPlaced,wardsKilled,kda
LLa G,29,7.0,0.2413793103448276,100261.20689655172,5047.758620689655,14917.206896551725,2337.7586206896553,0.034482758620689655,0.0,0.7241379310344828,9345.862068965518,8941.896551724138,13.137931034482758,136.48275862068965,0.0,0.034482758620689655,6.241379310344827,1.0689655172413792,10.344827586206897,15.482758620689655,7.620689655172414,1.8275862068965518,3.175588396278051
LOVE GD,15,6.0,0.4,189953.66666666666,11413.0,27096.333333333332,3564.866666666667,0.3333333333333333,0.06666666666666667,1.4666666666666666,13299.066666666668,12213.333333333334,14.133333333333333,212.6,0.13333333333333333,0.0,13.933333333333334,1.7333333333333334,20.333333333333332,30.6,13.266666666666667,6.666666666666667,3.6844444444444444
Last Sunnnner,23,8.0,0.34782608695652173,99596.08695652174,6460.434782608696,14337.0,2886.1304347826085,0.21739130434782608,0.08695652173913043,1.173913043478261,9792.391304347826,8981.173913043478,12.08695652173913,150.43478260869566,0.2608695652173913,0.17391304347826086,5.478260869565218,0.8695652173913043,7.521739130434782,23.608695652173914,10.869565217391305,4.521739130434782,3.309287572331051
Lehends,18,8.0,0.4444444444444444,37990.555555555555,2233.8888888888887,9567.611111111111,913.5,0.0,0.05555555555555555,0.16666666666666666,8309.777777777777,7809.722222222223,12.666666666666666,39.388888888888886,0.1111111111111111,0.0,0.3888888888888889,0.3888888888888889,1.3333333333333333,63.72222222222222,35.27777777777778,6.055555555555555,2.4078313661646993
Let me sup,22,11.0,0.5,33484.27272727273,2433.909090909091,11443.136363636364,683.4090909090909,0.13636363636363635,0.0,0.3181818181818182,8361.681818181818,7526.818181818182,13.045454545454545,40.81818181818182,0.13636363636363635,0.13636363636363635,0.18181818181818182,0.3181818181818182,1.0909090909090908,78.0,48.31818181818182,8.590909090909092,6.649458874458875
Liiv Cruiser,32,15.0,0.46875,126173.375,7025.96875,17798.65625,2523.3125,0.15625,0.09375,1.0,11139.40625,10222.8125,14.71875,171.25,0.0625,0.125,10.03125,2.25,16.25,25.53125,9.40625,4.15625,2.4814484126984127
Liiv Effort,33,17.0,0.5151515151515151,26486.939393939392,1843.6363636363637,9645.39393939394,832.6969696969697,0.030303030303030304,0.0,0.09090909090909091,7716.757575757576,7059.242424242424,11.848484848484848,29.303030303030305,0.12121212121212122,0.0,0.12121212121212122,0.0,1.0909090909090908,62.42424242424242,32.84848484848485,8.212121212121213,3.629034938125848
Liiv FATE,33,15.0,0.45454545454545453,136936.60606060605,6099.545454545455,19109.81818181818,2552.3939393939395,0.12121212121212122,0.0,1.121212121212121,11488.69696969697,10716.363636363636,14.93939393939394,194.4848484848485,0.18181818181818182,0.06060606060606061,11.666666666666666,1.5757575757575757,16.21212121212121,25.21212121212121,10.030303030303031,3.606060606060606,3.5098845598845605
Liiv Geum go,27,16.0,0.5925925925925926,153373.85185185185,21976.74074074074,17114.703703703704,1511.4814814814815,0.25925925925925924,0.14814814814814814,0.8888888888888888,11473.111111111111,10568.851851851852,14.296296296296296,43.22222222222222,0.1111111111111111,0.14814814814814814,70.96296296296296,17.444444444444443,117.5925925925926,28.0,7.037037037037037,5.148148148148148,4.853380364491476
Liiv Howling,10,3.0,0.3,133728.5,10727.0,18179.5,4675.8,0.1,0.1,2.2,11703.9,11339.9,15.4,183.5,0.0,0.0,1.9,2.3,8.2,23.0,9.7,3.6,3.288809523809524
Liiv KABBIE,26,16.0,0.6153846153846154,37782.0,2347.846153846154,8417.346153846154,1104.8846153846155,0.11538461538461539,0.038461538461538464,0.4230769230769231,8364.461538461539,7488.2692307692305,12.923076923076923,56.23076923076923,0.038461538461538464,0.038461538461538464,0.46153846153846156,0.5384615384615384,1.3076923076923077,72.92307692307692,42.84615384615385,10.615384615384615,4.252930402930403
Liiv KingKong,20,8.0,0.4,159559.55,8065.95,20846.95,3107.1,0.2,0.25,1.45,13052.8,11923.65,14.35,213.55,0.05,0.2,13.05,2.4,18.55,27.6,11.05,6.05,4.0686309523809525
Liiv LeO,19,8.0,0.42105263157894735,127472.42105263157,7725.894736842105,17158.052631578947,3881.842105263158,0.21052631578947367,0.21052631578947367,1.4736842105263157,11470.947368421053,11127.105263157895,13.052631578947368,182.73684210526315,0.15789473684210525,0.05263157894736842,8.736842105263158,2.6842105263157894,13.736842105263158,31.0,14.473684210526315,6.105263157894737,4.0331582160529535
Liiv OnFleek,26,13.0,0.5,146925.84615384616,22528.73076923077,17495.076923076922,2134.6923076923076,0.15384615384615385,0.07692307692307693,1.1923076923076923,11329.615384615385,10619.23076923077,14.23076923076923,77.8076923076923,0.07692307692307693,0.07692307692307693,56.76923076923077,10.26923076923077,92.42307692307692,39.92307692307692,12.615384615384615,8.346153846153847,3.776114163614164
Liiv Prove,29,18.0,0.6206896551724138,92792.79310344828,6665.310344827586,15891.931034482759,3036.3793103448274,0.1724137931034483,0.0,0.9310344827586207,10692.862068965518,9501.206896551725,13.89655172413793,108.62068965517241,0.034482758620689655,0.10344827586206896,5.724137931034483,1.3793103448275863,8.551724137931034,48.3448275862069,26.137931034482758,7.413793103448276,5.656596564355186
Liiv Pump,19,10.0,0.5263157894736842,142432.15789473685,6653.789473684211,17888.052631578947,3372.0526315789475,0.21052631578947367,0.15789473684210525,1.2105263157894737,11962.0,10996.052631578947,13.421052631578947,193.31578947368422,0.10526315789473684,0.21052631578947367,8.894736842105264,2.3157894736842106,12.578947368421053,24.105263157894736,9.842105263157896,6.842105263157895,3.7184837092731833
Liiv Route,30,15.0,0.5,161409.1,10934.933333333332,22180.4,5383.433333333333,0.3333333333333333,0.1,1.8333333333333333,13446.833333333334,12605.5,14.6,210.5,0.2,0.03333333333333333,10.033333333333333,4.033333333333333,16.733333333333334,29.9,12.9,7.5,3.2783658008658008
Liiv Summ1t,31,24.0,0.7741935483870968,132533.2258064516,9569.935483870968,22828.1935483871,5882.967741935484,0.41935483870967744,0.16129032258064516,2.129032258064516,11921.838709677419,10825.967741935483,14.709677419354838,173.6451612903226,0.12903225806451613,0.25806451612903225,1.967741935483871,2.096774193548387,7.129032258064516,28.096774193548388,9.548387096774194,6.0,4.9892089093702
Liiv Summit,27,15.0,0.5555555555555556,142296.14814814815,7757.62962962963,21943.333333333332,5370.259259259259,0.18518518518518517,0.14814814814814814,1.8888888888888888,11857.777777777777,11009.888888888889,14.407407407407407,194.0,0.037037037037037035,0.07407407407407407,3.3703703703703702,2.074074074074074,8.555555555555555,24.74074074074074,9.74074074074074,4.666666666666667,3.1604013270679947
Limpid123,32,13.0,0.40625,103729.875,4362.5625,15960.9375,2180.65625,0.03125,0.0,0.78125,9790.1875,8617.65625,13.15625,154.0625,0.09375,0.0,4.4375,0.3125,6.09375,19.03125,9.8125,1.9375,2.5297867063492063
