championId,count,win,kills,deaths,assists,winRate,kda,totalMinionsKilled,goldEarned
91,165,75,1234,1007,1090,0.45454545454545453,2.307845084409136,166.55757575757576,11454.58787878788
105,163,79,1038,767,907,0.48466257668711654,2.5358539765319428,156.25153374233128,10526.35582822086
53,157,71,291,910,1844,0.45222929936305734,2.3461538461538463,30.197452229299362,7098.528662420382
69,152,63,846,895,829,0.4144736842105263,1.8715083798882681,168.0065789473684,10489.381578947368
40,142,66,287,730,1782,0.4647887323943662,2.834246575342466,18.97887323943662,7363.507042253521
201,142,73,182,812,2216,0.5140845070422535,2.9532019704433496,31.845070422535212,7428.943661971831
34,141,55,745,778,1067,0.3900709219858156,2.329048843187661,177.01418439716312,11273.702127659575
429,133,54,855,782,953,0.40601503759398494,2.312020460358056,202.05263157894737,12356.195488721805
55,130,55,1067,832,773,0.4230769230769231,2.2115384615384617,157.43076923076924,11420.038461538461
18,129,62,1037,739,716,0.4806201550387597,2.3721244925575102,175.8139534883721,12351.15503875969
238,121,64,780,542,650,0.5289256198347108,2.6383763837638377,167.63636363636363,10753.785123966942
119,121,65,917,627,705,0.5371900826446281,2.5869218500797446,172.5785123966942,12261.371900826447
107,116,67,811,662,718,0.5775862068965517,2.309667673716012,86.34482758620689,10451.413793103447
35,114,57,523,706,1139,0.5,2.3541076487252126,21.596491228070175,8602.868421052632
13,112,48,561,627,591,0.42857142857142855,1.8373205741626795,186.6875,11095.61607142857
5,109,55,630,664,960,0.5045871559633027,2.394578313253012,30.559633027522935,10638.385321100917
223,107,50,170,601,1221,0.4672897196261682,2.3144758735440933,31.925233644859812,6808.85046728972
427,106,56,178,451,1257,0.5283018867924528,3.1818181818181817,33.632075471698116,7716.7830188679245
38,105,39,565,537,542,0.37142857142857144,2.0614525139664805,169.74285714285713,10386.790476190476
44,104,48,163,538,1317,0.46153846153846156,2.7509293680297398,32.90384615384615,7001.701923076923
113,102,58,462,454,1336,0.5686274509803921,3.960352422907489,30.480392156862745,9985.470588235294
133,101,47,585,512,494,0.46534653465346537,2.107421875,173.35643564356437,11435.910891089108
122,100,55,534,473,474,0.55,2.13107822410148,165.5,10430.33
29,99,26,585,647,619,0.26262626262626265,1.8608964451313756,165.53535353535352,10721.333333333334
350,98,40,140,439,1339,0.40816326530612246,3.369020501138952,8.346938775510203,6741.84693877551
268,95,49,541,489,646,0.5157894736842106,2.427402862985685,185.8842105263158,11257.757894736842
50,91,47,538,544,851,0.5164835164835165,2.5533088235294117,135.69230769230768,10019.483516483517
6,87,39,526,368,429,0.4482758620689655,2.595108695652174,141.64367816091954,10864.206896551725
28,86,36,635,486,559,0.4186046511627907,2.45679012345679,18.651162790697676,10167.46511627907
27,71,34,247,345,545,0.4788732394366197,2.2956521739130435,151.07042253521126,9381.084507042253
9,66,32,292,352,650,0.48484848484848486,2.6761363636363638,33.10606060606061,10202.39393939394
56,65,42,321,325,396,0.6461538461538462,2.206153846153846,161.72307692307692,10227.938461538462
498,65,31,472,352,515,0.47692307692307695,2.803977272727273,209.58461538461538,12853.138461538461
526,63,27,142,494,802,0.42857142857142855,1.9109311740890689,34.301587301587304,7520.571428571428
82,59,25,290,378,317,0.423728813559322,1.6058201058201058,168.88135593220338,10631.35593220339
222,59,31,364,254,461,0.5254237288135594,3.248031496062992,214.1864406779661,12812.677966101695
518,58,33,282,279,395,0.5689655172413793,2.4265232974910393,163.3448275862069,10149.706896551725
1,55,26,187,341,581,0.4727272727272727,2.2521994134897363,66.41818181818182,8558.709090909091
72,53,26,188,184,561,0.49056603773584906,4.070652173913044,25.71698113207547,9670.433962264151
14,53,29,174,250,423,0.5471698113207547,2.388,150.0188679245283,9450.77358490566
99,53,21,148,275,538,0.39622641509433965,2.4945454545454546,71.22641509433963,8112.0
103,51,23,233,223,377,0.45098039215686275,2.7354260089686098,168.19607843137254,10038.254901960785
59,50,10,231,308,609,0.2,2.727272727272727,27.52,9957.34
102,50,23,295,245,406,0.46,2.8612244897959185,48.94,11554.02
10,48,24,260,293,366,0.5,2.136518771331058,195.10416666666666,12525.520833333334
74,46,27,200,204,360,0.5869565217391305,2.7450980392156863,164.2608695652174,10569.804347826086
240,41,20,220,204,344,0.4878048780487805,2.764705882352941,154.29268292682926,10877.658536585366
32,40,16,179,223,360,0.4,2.4170403587443947,30.6,9882.325
16,39,16,34,198,412,0.41025641025641024,2.2525252525252526,17.46153846153846,6191.641025641025
136,37,20,212,159,296,0.5405405405405406,3.1949685534591197,151.0810810810811,9849.18918918919
92,35,14,175,172,132,0.4,1.7848837209302326,176.82857142857142,10822.257142857143
110,34,10,215,173,225,0.29411764705882354,2.5433526011560694,203.3235294117647,12043.411764705883
131,34,20,226,212,288,0.5882352941176471,2.4245283018867925,161.7941176470588,12457.735294117647
101,33,16,193,148,332,0.48484848484848486,3.5472972972972974,154.9090909090909,11089.757575757576
127,31,17,130,171,286,0.5483870967741935,2.4327485380116958,171.5483870967742,10243.90322580645
150,29,13,167,181,241,0.4482758620689655,2.25414364640884,178.3448275862069,12677.379310344828
267,28,19,49,113,358,0.6785714285714286,3.601769911504425,13.571428571428571,6566.571428571428
63,27,11,115,207,241,0.4074074074074074,1.7198067632850242,53.55555555555556,9233.666666666666
90,26,15,106,101,241,0.5769230769230769,3.4356435643564356,192.1153846153846,11346.692307692309
48,22,11,84,95,225,0.5,3.2526315789473683,26.772727272727273,8428.40909090909
31,19,9,74,81,125,0.47368421052631576,2.45679012345679,143.78947368421052,9740.526315789473
26,19,9,52,89,208,0.47368421052631576,2.9213483146067416,81.36842105263158,8365.052631578947
23,19,13,104,89,91,0.6842105263157895,2.191011235955056,186.31578947368422,11959.315789473685
77,18,4,37,134,106,0.2222222222222222,1.0671641791044777,83.05555555555556,8319.222222222223
19,18,9,126,77,103,0.5,2.9740259740259742,17.27777777777778,9776.666666666666
42,17,3,97,106,86,0.17647058823529413,1.7264150943396226,167.2941176470588,11105.70588235294
33,14,6,30,73,119,0.42857142857142855,2.041095890410959,30.428571428571427,6808.5
115,13,5,71,57,108,0.38461538461538464,3.1403508771929824,206.07692307692307,12391.153846153846
96,13,6,92,80,101,0.46153846153846156,2.4125,197.0,12686.0
75,12,7,49,87,68,0.5833333333333334,1.3448275862068966,185.5,10999.25
161,12,2,29,86,80,0.16666666666666666,1.2674418604651163,81.25,7603.416666666667
254,10,4,60,54,61,0.4,2.240740740740741,31.8,10908.7
37,9,7,17,49,120,0.7777777777777778,2.795918367346939,38.55555555555556,7668.555555555556
15,9,3,36,47,68,0.3333333333333333,2.2127659574468086,217.55555555555554,11560.333333333334
143,8,5,11,37,93,0.625,2.810810810810811,41.5,7723.375
86,8,6,44,32,46,0.75,2.8125,174.0,10956.125
11,5,1,11,19,7,0.2,0.9473684210526315,8.2,5181.0
36,4,0,10,25,9,0.0,0.76,90.75,6605.75
17,3,1,1,11,7,0.3333333333333333,0.7272727272727273,68.66666666666667,3998.0
83,3,2,11,11,25,0.6666666666666666,3.272727272727273,243.66666666666666,13583.666666666666
